"","region_code","region_name","region_level","n_species","n_checklists"
"187","CA-QC-NY","Nicolet-Yamaska","subnational2",298,11757
"188","CA-QC-SR","Sept-Rivières","subnational2",291,6379
"189","CA-QC-RL","Rivière-du-Loup","subnational2",289,7733
"190","CA-QC-RS","Roussillon","subnational2",286,10340
"191","CA-QC-MM","Montmagny","subnational2",285,4659
"192","CA-QC-CG","La Côte-de-Gaspé","subnational2",284,3768
"193","CA-QC-HR","Le Haut-Richelieu","subnational2",284,9441
"194","CA-QC-BH","Beauharnois-Salaberry","subnational2",283,9754
"195","CA-QC-BL","Bellechasse","subnational2",282,6263
"196","CA-QC-DE","Lévis","subnational2",278,9378
"197","CA-QC-AT","Arthabaska","subnational2",276,5083
"198","CA-QC-BM","Brome-Missisquoi","subnational2",275,9602
"199","CA-QC-BA","Les Basques","subnational2",275,5252
"200","CA-QC-VS","Vaudreuil-Soulanges","subnational2",274,14678
"201","CA-QC-MI","La Mitis","subnational2",273,5626
"202","CA-QC-CP","Longueuil","subnational2",271,9205
"203","CA-QC-VR","La Vallée-du-Richelieu","subnational2",270,7173
"204","CA-QC-CE","Charlevoix-Est","subnational2",269,3883
"205","CA-QC-DA","D'Autray","subnational2",268,5317
"206","CA-QC-IM","Les Îles-de-la-Madeleine","subnational2",268,10885
"207","CA-QC-BR","Pierre-De Saurel","subnational2",268,2097
"208","CA-QC-TM","Témiscamingue","subnational2",266,8561
"209","CA-QC-MT","La Matanie","subnational2",265,2987
"210","CA-QC-HL","Le Haut-Saint-Laurent","subnational2",262,7347
"211","CA-QC-MS","Maskinongé","subnational2",261,4578
"212","CA-QC-LV","Laval","subnational2",260,36897
"213","CA-QC-CO","Les Collines-de-l'Outaouais","subnational2",260,9771
"214","CA-QC-DR","La Haute-Gaspésie","subnational2",259,3018
"215","CA-QC-PR","Portneuf","subnational2",259,5653
"216","CA-QC-BC","Bécancour","subnational2",258,5090
"217","CA-QC-HY","La Haute-Yamaska","subnational2",258,13113
"218","CA-QC-PP","Papineau","subnational2",258,3737
"219","CA-QC-CV","Charlevoix","subnational2",257,2065
"220","CA-QC-IO","L'Île-d'Orléans","subnational2",255,3045
"221","CA-QC-FR","Trois-Rivières","subnational2",253,5751
"222","CA-QC-TT","Témiscouata","subnational2",251,24706
"223","CA-QC-LS","Lac-Saint-Jean-Est","subnational2",249,7640
"224","CA-QC-AG","Argenteuil","subnational2",248,3363
"225","CA-QC-BO","Bonaventure","subnational2",248,1612
"226","CA-QC-MB","Minganie","subnational2",248,4663
"227","CA-QC-RN","Rouyn-Noranda","subnational2",247,8284
"228","CA-QC-AL","Antoine-Labelle","subnational2",245,12782
"229","CA-QC-LO","Lotbinière","subnational2",244,3424
"230","CA-QC-RC","Robert-Cliche","subnational2",244,1708
"231","CA-QC-IS","L'Islet","subnational2",243,2815
"232","CA-QC-AO","Abitibi-Ouest","subnational2",242,5738
"233","CA-QC-AV","Avignon","subnational2",242,952
"234","CA-QC-LJ","Marguerite-D'Youville","subnational2",242,1304
"235","CA-QC-MU","Les Moulins","subnational2",241,4857
"236","CA-QC-DM","Deux-Montagnes","subnational2",240,3255
"237","CA-QC-DD","Le Domaine-du-Roy","subnational2",240,2990
"238","CA-QC-NB","La Nouvelle-Beauce","subnational2",239,2289
"239","CA-QC-PN","Pontiac","subnational2",239,6219
"240","CA-QC-FS","Le Fjord-du-Saguenay","subnational2",237,5249
"241","CA-QC-RV","Rouville","subnational2",237,2207
"242","CA-QC-BS","Beauce-Sartigan","subnational2",236,5386
"243","CA-QC-SAG","Saguenay","subnational2",236,15239
"244","CA-QC-VO","La Vallée-de-l'Or","subnational2",235,7291
"245","CA-QC-MG","Memphrémagog","subnational2",235,5645
"246","CA-QC-JAM","Jamésie","subnational2",234,2903
"247","CA-QC-MK","Les Maskoutains","subnational2",229,2316
"248","CA-QC-SH","Sherbrooke","subnational2",227,7067
"249","CA-QC-AB","Abitibi","subnational2",224,2047
"250","CA-QC-MO","Montcalm","subnational2",223,1803
"251","CA-QC-DU","Drummond","subnational2",222,1893
"252","CA-QC-APP","Les Appalaches","subnational2",221,2145
"253","CA-QC-MW","Matawinie","subnational2",220,5129
"254","CA-QC-AN","L'Assomption","subnational2",218,1643
"255","CA-QC-CT","Coaticook","subnational2",216,2023
"256","CA-QC-JN","Les Jardins-de-Napierville","subnational2",216,1391
"257","CA-QC-ER","L'Érable","subnational2",215,1405
"258","CA-QC-VG","La Vallée-de-la-Gatineau","subnational2",214,1762
"259","CA-QC-ET","Les Etchemins","subnational2",214,728
"260","CA-QC-JO","Joliette","subnational2",212,2937
"261","CA-QC-ML","Mirabel","subnational2",212,2270
"262","CA-QC-LL","Les Laurentides","subnational2",210,6447
"263","CA-QC-VF","Le Val-Saint-François","subnational2",209,4323
"264","CA-QC-AS","Les Sources","subnational2",207,920
"265","CA-QC-TB","Thérèse-De Blainville","subnational2",207,5285
"266","CA-QC-LCH","Les Chenaux","subnational2",204,575
"267","CA-QC-JC","La Jacques-Cartier","subnational2",201,2027
"268","CA-QC-RD","La Rivière-du-Nord","subnational2",200,2335
"269","CA-QC-GR","Le Granit","subnational2",200,1158
"270","CA-QC-MP","La Matapédia","subnational2",192,433
"271","CA-QC-MC","Maria-Chapdelaine","subnational2",192,2416
"272","CA-QC-CM","Shawinigan","subnational2",190,1434
"273","CA-QC-HF","Le Haut-Saint-François","subnational2",189,1129
"274","CA-QC-GSL","Le Golfe-du-Saint-Laurent","subnational2",184,516
"275","CA-QC-HM","La Tuque","subnational2",175,1066
"276","CA-QC-PH","Les Pays-d'en-Haut","subnational2",169,1040
"277","CA-QC-ME","Mékinac","subnational2",169,315
"278","CA-QC-AC","Acton","subnational2",159,359
"279","CA-QC-NQ","Kativik","subnational2",141,360
"280","CA-QC-CAN","Caniapiscau","subnational2",125,99
"281","CA-NS-HL","Halifax","subnational2",375,32370
"282","CA-NS-SH","Shelburne","subnational2",360,8822
"283","CA-NS-YA","Yarmouth","subnational2",353,6412
"284","CA-NS-DI","Digby","subnational2",325,3851
"285","CA-NS-LU","Lunenburg","subnational2",318,14050
"286","CA-NS-KI","Kings","subnational2",312,14460
"287","CA-NS-CB","Cape Breton","subnational2",301,6152
"288","CA-NS-PI","Pictou","subnational2",300,11413
"289","CA-NS-CU","Cumberland","subnational2",270,4225
"290","CA-NS-GU","Guysborough","subnational2",269,1380
"291","CA-NS-QU","Queens","subnational2",268,1616
"292","CA-NS-AP","Annapolis","subnational2",267,3671
"293","CA-NS-VI","Victoria","subnational2",252,2888
"294","CA-NS-CO","Colchester","subnational2",238,1982
"295","CA-NS-IN","Inverness","subnational2",236,1869
"296","CA-NS-HN","Hants","subnational2",229,2063
"297","CA-NS-AG","Antigonish","subnational2",227,920
"298","CA-NS-RI","Richmond","subnational2",227,674
"299","CA-NL-ON","Avalon Peninsula-St. John's","subnational2",375,35072
"300","CA-NL-SE","Bonavista/Trinity-Clarenville","subnational2",266,4101
"301","CA-NL-NI","Northern Peninsula-St. Anthony","subnational2",263,3100
"302","CA-NL-TE","Labrador-Happy Valley-Goose Bay","subnational2",261,5381
"303","CA-NL-FO","St. George's-Stephenville","subnational2",258,3017
"304","CA-NL-TR","South Coast-Channel-Port aux Basques","subnational2",233,800
"305","CA-NL-EI","Notre Dame Bay-Lewisporte","subnational2",221,1489
"306","CA-NL-TW","Burin Peninsula-Marystown","subnational2",210,558
"307","CA-NL-FI","Humber District-Corner Brook","subnational2",200,2655
"308","CA-NL-SI","Central Newfoundland-Grand Falls-Windsor","subnational2",169,1315
"309","CA-NL-EL","Nunatsiavut-Nain","subnational2",135,116
"310","CA-AB-SI","Calgary","subnational2",349,77575
"311","CA-AB-FN","Banff","subnational2",309,18071
"312","CA-AB-ON","Medicine Hat","subnational2",301,8550
"313","CA-AB-TW","Lethbridge","subnational2",298,8323
"314","CA-AB-EL","Edmonton","subnational2",295,30720
"315","CA-AB-TR","Fort MacLeod","subnational2",293,5960
"316","CA-AB-TE","Camrose-Lloydminister","subnational2",285,14233
"317","CA-AB-FI","Drumheller","subnational2",285,6183
"318","CA-AB-TV","St. Paul","subnational2",261,5536
"319","CA-AB-EI","Red Deer","subnational2",253,3486
"320","CA-AB-FT","Edson","subnational2",251,2344
"321","CA-AB-ST","Fort McMurray","subnational2",248,6347
"322","CA-AB-TN","Athabasca","subnational2",247,3153
"323","CA-AB-FO","Hanna","subnational2",242,1546
"324","CA-AB-SE","Stettler","subnational2",237,2221
"325","CA-AB-NT","Grande Prairie","subnational2",235,2267
"326","CA-AB-SN","Slave Lake","subnational2",232,5547
"327","CA-AB-NI","Rocky Mountain House","subnational2",221,813
"328","CA-AB-ET","Grande Cache","subnational2",205,285
"329","CA-MB-ET","North Interlake Area","subnational2",306,7288
"330","CA-MB-EL","Winnipeg","subnational2",301,25721
"331","CA-MB-ON","Eastern Manitoba - Eastman","subnational2",298,7075
"332","CA-MB-NI","Portage la Prairie Area","subnational2",297,1765
"333","CA-MB-FT","South Interlake","subnational2",294,3335
"334","CA-MB-TW","Steinbach Area","subnational2",294,5815
"335","CA-MB-SE","Brandon Area","subnational2",281,3308
"336","CA-MB-FI","South West Westman","subnational2",279,2618
"337","CA-MB-TN","Selkirk Area","subnational2",276,4080
"338","CA-MB-NT","North East Northern Region","subnational2",273,2898
"339","CA-MB-EE","Churchill and Northern Manitoba","subnational2",268,9315
"340","CA-MB-TR","Pembina Valley","subnational2",261,3608
"341","CA-MB-SN","Dauphin","subnational2",259,1370
"342","CA-MB-TV","Beausejour Area","subnational2",257,3275
"343","CA-MB-FN","Western Manitoba Westman","subnational2",249,1464
"344","CA-MB-SI","Virden Area","subnational2",245,679
"345","CA-MB-EI","Central Manitoba - Central Plains","subnational2",243,576
"346","CA-MB-TO","Flin Flon and North West","subnational2",232,2800
"347","CA-MB-FO","Pilot Mound Area","subnational2",232,695
"348","CA-MB-TE","Whitehorse Plains","subnational2",220,647
"349","CA-MB-TT","Swan River","subnational2",213,143
"350","CA-MB-TY","Thompson and North Central","subnational2",204,2857
"351","CA-MB-ST","Roblin - Russell - Rossburn Area","subnational2",201,469
"352","CA-NB-CH","Charlotte","subnational2",328,23797
"353","CA-NB-SJ","Saint John","subnational2",302,3137
"354","CA-NB-WE","Westmorland","subnational2",300,8817
"355","CA-NB-AL","Albert","subnational2",272,2231
"356","CA-NB-KE","Kent","subnational2",268,2236
"357","CA-NB-GL","Gloucester","subnational2",255,1323
"358","CA-NB-NO","Northumberland","subnational2",251,3919
"359","CA-NB-CA","Carleton","subnational2",239,1396
"360","CA-NB-YO","York","subnational2",237,2836
"361","CA-NB-KI","Kings","subnational2",228,2575
"362","CA-NB-QU","Queens","subnational2",221,1792
"363","CA-NB-RE","Restigouche","subnational2",216,758
"364","CA-NB-SU","Sunbury","subnational2",209,780
"365","CA-NB-MA","Madawaska","subnational2",196,432
"366","CA-NB-VI","Victoria","subnational2",163,200
"367","CA-SK-SI","Regina","subnational2",331,22033
"368","CA-SK-EL","Saskatoon","subnational2",317,10024
"369","CA-SK-SE","Moose Jaw","subnational2",281,3027
"370","CA-SK-FO","Maple Creek","subnational2",278,2401
"371","CA-SK-TV","Battleford","subnational2",272,3032
"372","CA-SK-FN","Prince Albert","subnational2",271,3483
"373","CA-SK-FI","Melville","subnational2",265,1190
"374","CA-SK-ON","Estevan","subnational2",263,1060
"375","CA-SK-ST","North Battleford","subnational2",262,1358
"376","CA-SK-EI","Swift Current","subnational2",260,1975
"377","CA-SK-NI","Yorkton","subnational2",255,877
"378","CA-SK-TE","Wynyard","subnational2",249,746
"379","CA-SK-TW","Weyburn","subnational2",241,769
"380","CA-SK-SN","Lloydminster","subnational2",235,584
"381","CA-SK-ET","La Ronge","subnational2",230,1010
"382","CA-SK-TR","Assiniboia","subnational2",227,1198
"383","CA-SK-FT","Melfort","subnational2",226,682
"384","CA-SK-TN","Kindersley","subnational2",195,238
"385","CA-YT-YT","Yukon","subnational2",311,27114
"386","CA-NT-FS","Fort Smith","subnational2",261,6825
"387","CA-NT-IN","Inuvik","subnational2",222,1184
"388","CA-PE-QU","Queens","subnational2",242,5840
"389","CA-PE-KI","Kings","subnational2",231,2400
"390","CA-PE-PR","Prince","subnational2",226,1121
"391","CA-NU-QK","Baffin","subnational2",211,3310
"392","CA-NU-KV","Keewatin","subnational2",161,1353
"393","CA-NU-KT","Kitikmeot","subnational2",129,890
"394","US-CA-073","San Diego","subnational2",543,157445
"395","US-CA-037","Los Angeles","subnational2",540,213066
"396","US-CA-083","Santa Barbara","subnational2",501,50270
"397","US-CA-041","Marin","subnational2",499,72645
"398","US-CA-053","Monterey","subnational2",495,82436
"399","US-CA-059","Orange","subnational2",484,84435
"400","US-CA-023","Humboldt","subnational2",474,72648
"401","US-CA-111","Ventura","subnational2",473,49022
"402","US-CA-075","San Francisco","subnational2",472,66375
"403","US-CA-065","Riverside","subnational2",461,49955
"404","US-CA-081","San Mateo","subnational2",454,84572
"405","US-CA-079","San Luis Obispo","subnational2",450,43214
"406","US-CA-071","San Bernardino","subnational2",442,44555
"407","US-CA-087","Santa Cruz","subnational2",442,99172
"408","US-CA-029","Kern","subnational2",435,50263
"409","US-CA-097","Sonoma","subnational2",430,48859
"410","US-CA-027","Inyo","subnational2",417,31730
"411","US-CA-015","Del Norte","subnational2",411,9783
"412","US-CA-001","Alameda","subnational2",408,60630
"413","US-CA-025","Imperial","subnational2",408,26048
"414","US-CA-045","Mendocino","subnational2",407,36550
"415","US-CA-085","Santa Clara","subnational2",379,63321
"416","US-CA-013","Contra Costa","subnational2",372,45440
"417","US-CA-051","Mono","subnational2",362,21672
"418","US-CA-077","San Joaquin","subnational2",351,15134
"419","US-CA-113","Yolo","subnational2",351,34871
"420","US-CA-095","Solano","subnational2",337,15128
"421","US-CA-107","Tulare","subnational2",332,18327
"422","US-CA-019","Fresno","subnational2",331,14623
"423","US-CA-067","Sacramento","subnational2",329,67655
"424","US-CA-063","Plumas","subnational2",315,14046
"425","US-CA-055","Napa","subnational2",313,9419
"426","US-CA-061","Placer","subnational2",313,13645
"427","US-CA-089","Shasta","subnational2",313,12370
"428","US-CA-093","Siskiyou","subnational2",313,14269
"429","US-CA-007","Butte","subnational2",310,16003
"430","US-CA-017","El Dorado","subnational2",308,11810
"431","US-CA-033","Lake","subnational2",307,8456
"432","US-CA-099","Stanislaus","subnational2",303,11087
"433","US-CA-069","San Benito","subnational2",301,13748
"434","US-CA-031","Kings","subnational2",299,5065
"435","US-CA-035","Lassen","subnational2",299,4460
"436","US-CA-039","Madera","subnational2",297,5459
"437","US-CA-047","Merced","subnational2",297,7862
"438","US-CA-049","Modoc","subnational2",287,3413
"439","US-CA-103","Tehama","subnational2",285,8003
"440","US-CA-043","Mariposa","subnational2",280,20416
"441","US-CA-091","Sierra","subnational2",280,7414
"442","US-CA-021","Glenn","subnational2",275,5294
"443","US-CA-057","Nevada","subnational2",273,12660
"444","US-CA-011","Colusa","subnational2",272,6748
"445","US-CA-005","Amador","subnational2",267,6793
"446","US-CA-101","Sutter","subnational2",266,4922
"447","US-CA-003","Alpine","subnational2",263,4005
"448","US-CA-009","Calaveras","subnational2",262,5160
"449","US-CA-115","Yuba","subnational2",262,3396
"450","US-CA-105","Trinity","subnational2",260,2990
"451","US-CA-109","Tuolumne","subnational2",253,8901
"452","US-TX-061","Cameron","subnational2",453,59458
"453","US-TX-355","Nueces","subnational2",442,40110
"454","US-TX-215","Hidalgo","subnational2",436,72549
"455","US-TX-167","Galveston","subnational2",424,60996
"456","US-TX-039","Brazoria","subnational2",414,22382
"457","US-TX-201","Harris","subnational2",413,97453
"458","US-TX-057","Calhoun","subnational2",412,4359
"459","US-TX-007","Aransas","subnational2",410,20981
"460","US-TX-453","Travis","subnational2",409,81281
"461","US-TX-029","Bexar","subnational2",408,40801
"462","US-TX-043","Brewster","subnational2",401,21243
"463","US-TX-273","Kleberg","subnational2",386,9035
"464","US-TX-245","Jefferson","subnational2",384,52037
"465","US-TX-321","Matagorda","subnational2",383,5515
"466","US-TX-439","Tarrant","subnational2",382,32870
"467","US-TX-491","Williamson","subnational2",378,27369
"468","US-TX-409","San Patricio","subnational2",377,5665
"469","US-TX-261","Kenedy","subnational2",372,3930
"470","US-TX-071","Chambers","subnational2",363,24164
